prediction,truth,similarity
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[2, 12, 10, 3]","[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 10, 3]",0.75
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 10, 3]",0.75
"[10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3, 3]",0.5
"[10, 3]","[14, 12, 10, 3, 3]",0.4
"[12, 10, 3]","[12, 10, 3, 3]",0.75
"[10, 3]","[10, 3, 3]",0.6666666666666667
[3],"[3, 3]",0.5
[],[3],0.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 14, 12, 10, 3]",0.4285714285714286
"[10, 3]","[14, 12, 14, 12, 10, 3]",0.33333333333333337
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 12, 10, 3]",0.75
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[14, 10, 3]","[14, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 4, 8, 10, 3]",0.5
"[10, 3]","[14, 4, 8, 10, 3]",0.4
"[10, 3]","[4, 8, 10, 3]",0.5
"[8, 10, 3]","[8, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 14, 10, 3]",0.6
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
"[10, 3]",[3],0.5
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[14, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[14, 10, 3]","[14, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 14, 10, 3]",0.6
"[10, 3]","[12, 14, 10, 3]",0.5
"[14, 10, 3]","[14, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 2, 12, 10, 3]",0.6
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 10, 10, 12, 10, 3]",0.4285714285714286
"[10, 3]","[10, 10, 10, 12, 10, 3]",0.33333333333333337
[3],"[10, 10, 12, 10, 3]",0.19999999999999996
[3],"[10, 12, 10, 3]",0.25
[3],"[12, 10, 3]",0.33333333333333337
"[14, 12, 10, 3]","[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3, 3]",0.75
"[10, 3]","[10, 3, 3]",0.6666666666666667
[3],"[3, 3]",0.5
[],[3],0.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 10, 3]",0.75
"[10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 14, 12, 10, 3]",0.4285714285714286
"[10, 3]","[14, 12, 14, 12, 10, 3]",0.33333333333333337
"[10, 3]","[12, 14, 12, 10, 3]",0.4
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 14, 10, 3]",1.0
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 14, 12, 14, 12, 10, 3]",0.33333333333333337
"[10, 3]","[14, 12, 14, 12, 14, 12, 10, 3]",0.25
"[12, 10, 3]","[12, 14, 12, 14, 12, 10, 3]",0.4285714285714286
"[10, 3]","[14, 12, 14, 12, 10, 3]",0.33333333333333337
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[2, 12, 10, 3]","[2, 12, 14, 12, 10, 3]",0.6666666666666667
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 12, 10, 3]",0.75
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[14, 10, 3]","[14, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 14, 10, 3]",1.0
"[14, 10, 3]","[14, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 2, 12, 10, 3]",0.6
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 10, 3]",0.75
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 14, 12, 14, 10, 3]",0.4285714285714286
"[12, 10, 3]","[12, 14, 12, 14, 10, 3]",0.5
"[10, 3]","[14, 12, 14, 10, 3]",0.4
"[10, 3]","[12, 14, 10, 3]",0.5
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 12, 10, 3]",0.4285714285714286
"[10, 3]","[14, 12, 10, 12, 10, 3]",0.33333333333333337
"[12, 10, 3]","[12, 10, 12, 10, 3]",0.6
"[10, 3]","[10, 12, 10, 3]",0.5
[3],"[12, 10, 3]",0.33333333333333337
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 12, 10, 3]",0.6
"[10, 3]","[10, 12, 10, 3]",0.5
[3],"[12, 10, 3]",0.33333333333333337
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 10, 3]",0.75
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 10, 3]",0.75
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 14, 14, 10, 3]",0.4
[3],"[14, 14, 10, 3]",0.25
"[12, 10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 12, 12, 10, 3]",0.6
"[10, 3]","[12, 12, 10, 3]",0.5
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 10, 3]",0.75
"[14, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 14, 12, 14, 12, 10, 3]",0.5714285714285714
"[10, 3]","[14, 12, 14, 12, 10, 3]",0.33333333333333337
"[10, 3]","[12, 14, 12, 10, 3]",0.4
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 12, 10, 3]",0.75
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[14, 12, 10, 3]","[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 14, 10, 3]",0.5
"[10, 3]","[14, 12, 14, 10, 3]",0.4
"[10, 3]","[12, 14, 10, 3]",0.5
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 10, 3]",0.75
"[10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 14, 10, 3]","[12, 14, 10, 3]",1.0
"[14, 10, 3]","[14, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 10, 3]",0.75
"[10, 3]","[10, 10, 3]",0.6666666666666667
[3],"[10, 3]",0.5
[3],[3],1.0
[],[],1.0
